entry_date,open_tt,open_tf,open_ft,open_ff
2018-01-30,-4.123711340206185,,-0.5317160424784184,-0.47393364928909953
2018-01-31,,,0.06649296878966626,-0.3720975578051119
2018-02-01,,,-0.7415254237288136,
2018-02-06,,,-5.244755244755245,
2018-02-12,,,1.002865329512894,
2018-02-13,0.9009009009009009,,,0.5309734513274336
2018-02-14,,,,0.11464456703110024
2018-02-19,,,-0.9124087591240875,-0.4746323964205464
2018-02-20,3.8023809157131194,,,0.25643941547734117
2018-02-21,,,-0.3424220216575117,-0.7087117336981603
2018-02-22,,,0.7631744943968974,0.6149147317145005
2018-02-23,,,0.0,1.1698645545376443
2018-02-26,,,,0.505454507069434
2018-02-27,-1.2415349887133182,,-1.1887025779337195,-0.6248869213426419
2018-02-28,,,-1.7952916630405307,-1.1915146998567152
2018-03-02,-1.1259676284306825,,0.2304147465437788,0.13057644341661134
2018-03-05,,,1.2956419316843346,0.7843137254901961
2018-03-06,1.079136690647482,,,0.3722644205459878
2018-03-07,0.6395515952860018,,0.11389521640091116,0.7923520726472189
2018-03-08,,,1.0279525230785134,0.05050753928458716
2018-03-09,1.500077474143748,1.8094074819179,0.8331088814178812,1.0606421197615703
2018-03-12,-0.5402849942935483,,-1.2114211395254142,0.11825030699726401
2018-03-13,0.154305788108605,,-0.6438250745596988,-0.9148731990474908
2018-03-14,,,-0.32474398511829033,-0.0967403413364346
2018-03-15,,,0.4178011781367788,0.18172181641915486
2018-03-16,,,0.7157464212678937,-0.16722408026755853
2018-03-19,,,0.0199498404012768,
2018-03-20,,,0.39370078740157477,-0.3829369481787221
2018-03-21,1.639344262295082,,,0.13142656419814616
2018-03-22,-1.4084507042253522,,-1.41628145865434,-2.4828096401846063
2018-03-26,,,0.2570694087403599,-0.1431738546091631
2018-03-27,,,-0.9384325368307135,-0.8087201162160541
2018-03-28,,,0.18718376840382375,
2018-03-29,1.824817518248175,0.10518934081346423,0.5033557046979865,0.9100708582872198
2018-03-30,0.8473389355742297,,1.1548556876826055,1.457180543516406
2018-04-02,,,-0.10514471384198926,-0.39076376554174064
2018-04-03,0.3361547180229569,,0.5973715651135006,-1.2944983818770228
2018-04-04,-1.023541453428864,,0.304890384434731,0.1626986377964879
2018-04-05,,,-0.11587647288769753,-0.17621369446625687
2018-04-06,,,0.24243889989932946,
2018-04-09,0.14814814814814814,,-0.44638326972711834,
2018-04-10,-0.41261120719865246,,0.8919642857142857,0.6355845327428549
2018-04-11,0.8255563531945441,,0.0,0.07816237657715999
2018-04-12,,,0.7785269878497671,0.10805484984691545
2018-04-13,0.6042296072507553,,0.5117550106510348,2.0449461734145906
2018-04-16,,,0.3408782099304746,0.20163496099938588
2018-04-17,-0.7739938080495357,4.7121158601200985,0.49671906097850166,0.8743118761903497
2018-04-18,,1.5736766809728182,-0.41797283176593525,0.3125157218128543
2018-04-19,0.5524861878453038,,0.1992508169283494,0.8240947470062265
2018-04-20,,,1.4291174119339565,0.5650470219435736
2018-04-23,,,0.6490530273545115,0.7657428861726533
2018-04-24,-0.2936857562408223,,-0.2552373614788015,-0.8583690987124464
2018-04-25,0.051440329218107,,0.5407099676008491,0.38772806474374666
2018-04-26,,,-0.1531364254129898,0.29698149951314506
